like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,simulation_100,simulation_101,simulation_102,simulation_103,simulation_104,simulation_105,simulation_106,simulation_107,simulation_108,simulation_109,simulation_110,simulation_111,simulation_112,simulation_113,simulation_114,simulation_115,simulation_116,simulation_117,simulation_118,simulation_119,simulation_120,simulation_121,simulation_122,simulation_123,simulation_124,simulation_125,simulation_126,simulation_127,simulation_128,simulation_129,simulation_130,simulation_131,simulation_132,chain
1.0,5.44,2.81,5.49,1.0,0.1683,0.003683,0.6963,0.1874,0.304,0.4517,0.1683,1.0,0.2155,0.219,0.1599,0.978,0.4016,0.003683,0.2155,1.0,0.0729,0.03693,0.2374,0.07574,0.6963,0.219,0.0729,1.0,0.10846,0.417,0.688,0.1874,0.1599,0.03693,0.10846,1.0,0.172,0.1321,0.304,0.978,0.2374,0.417,0.172,1.0,0.52,0.4517,0.4016,0.07574,0.688,0.1321,0.52,1.0,inf,3.158,1.001,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.48,98.25,inf,306.0,420.8,0.0,0.0,30.08,41.5,68.8,100.9,147.6,219.2,325.0,485.2,780.5,1107.0,11680.0,inf,-0.05106,0.2423,-16.12,-0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.225,inf,-47.16,65.9,-1323.0,-172.1,-121.4,-75.44,-50.47,-34.0,-22.83,-15.57,-10.59,-6.348,-4.613,5.0,2616.0,0.2476,81.0,0.9897,0.9995,0.9946,1.0,0.0511,47.9,-1.617,-15.41,0.7725,inf,0.939,0.963,0.0613,6560.0,0.9414,0.9756,0.0957,43.6,1.0
1.0,1.912,1.92,6.355,1.0,0.1683,0.003683,0.6963,0.1874,0.5,0.4663,0.1683,1.0,0.2155,0.219,0.1599,0.846,0.1361,0.003683,0.2155,1.0,0.0729,0.03693,0.2284,0.02974,0.6963,0.219,0.0729,1.0,0.10846,0.704,0.779,0.1874,0.1599,0.03693,0.10846,1.0,0.1754,0.08954,0.5,0.846,0.2284,0.704,0.1754,1.0,0.523,0.4663,0.1361,0.02974,0.779,0.08954,0.523,1.0,inf,3.096,0.969,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,149.1,inf,182.0,256.5,0.0,0.0,14.46,24.98,38.97,57.72,84.94,127.0,190.6,288.5,468.2,666.5,10860.0,inf,0.01025,0.4573,-67.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.58,inf,76.94,145.0,-4156.0,-10.97,3.943,8.23,13.42,22.78,33.1,48.84,75.56,121.75,216.9,330.0,5350.0,0.4575,164.1,0.7847,0.8804,0.8857,0.938,0.0663,87.8,0.331,42.28,0.666,inf,0.7773,0.591,0.2094,26930.0,0.7773,0.6807,0.07587,85.9,1.0
1.0,9.195,9.79,1.14,1.0,0.1683,0.003683,0.6963,0.1874,0.1848,0.2852,0.1683,1.0,0.2155,0.219,0.1599,0.9985,0.571,0.003683,0.2155,1.0,0.0729,0.03693,0.2622,0.1233,0.6963,0.219,0.0729,1.0,0.10846,0.2463,0.3787,0.1874,0.1599,0.03693,0.10846,1.0,0.1619,0.1326,0.1848,0.9985,0.2622,0.2463,0.1619,1.0,0.577,0.2852,0.571,0.1233,0.3787,0.1326,0.577,1.0,inf,3.13,0.7954,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.396,53.0,inf,321.2,457.8,0.0,0.0,34.62,42.47,74.2,107.9,153.6,225.6,331.8,496.2,810.5,1170.0,17520.0,inf,-0.02504,0.438,-14.06,-0.05765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4,inf,-62.28,125.25,-5076.0,-277.5,-181.6,-101.06,-62.25,-40.1,-26.84,-18.84,-10.88,-5.703,5.0,13.586,3988.0,0.4387,139.9,0.714,0.9683,0.8447,0.984,0.07367,74.4,-0.8,-19.39,0.521,inf,0.696,0.9067,0.1925,19570.0,0.697,0.9253,0.0961,73.3,1.0
1.0,8.164,8.16,2.482,1.0,0.1683,0.003683,0.6963,0.1874,0.2107,0.3296,0.1683,1.0,0.2155,0.219,0.1599,0.9966,0.535,0.003683,0.2155,1.0,0.0729,0.03693,0.2595,0.11383,0.6963,0.219,0.0729,1.0,0.10846,0.2834,0.4653,0.1874,0.1599,0.03693,0.10846,1.0,0.1644,0.133,0.2107,0.9966,0.2595,0.2834,0.1644,1.0,0.557,0.3296,0.535,0.11383,0.4653,0.133,0.557,1.0,inf,3.129,0.7935,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.357,57.4,inf,311.5,439.2,0.0,0.0,32.9,41.62,71.7,104.25,149.8,220.6,325.0,484.8,787.0,1130.0,16190.0,inf,-0.02309,0.3333,-11.48,-0.002016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.75,inf,-52.62,100.6,-3708.0,-228.4,-150.1,-84.25,-52.28,-33.78,-22.89,-15.76,-9.28,-5.684,5.0,7.617,2878.0,0.334,113.56,0.828,0.9805,0.91,0.99,0.0577,60.88,-0.738,-16.89,0.56,inf,0.8228,0.933,0.1116,12900.0,0.8237,0.9478,0.0785,59.78,1.0
1.0,3.143,1.44,7.652,1.0,0.1683,0.003683,0.6963,0.1874,0.4434,0.4834,0.1683,1.0,0.2155,0.219,0.1599,0.9014,0.2021,0.003683,0.2155,1.0,0.0729,0.03693,0.2219,0.03842,0.6963,0.219,0.0729,1.0,0.10846,0.6196,0.7837,0.1874,0.1599,0.03693,0.10846,1.0,0.1768,0.10333,0.4434,0.9014,0.2219,0.6196,0.1768,1.0,0.51,0.4834,0.2021,0.03842,0.7837,0.10333,0.51,1.0,inf,3.125,1.07,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,150.1,inf,228.9,315.8,0.0,0.0,19.62,31.42,49.97,73.44,108.25,161.9,242.4,365.0,589.5,834.5,11096.0,inf,-0.01924,0.4395,-68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.93,inf,29.97,89.8,-4320.0,-36.03,-8.19,3.857,5.836,8.12,13.31,20.47,32.72,55.5,104.44,163.8,5530.0,0.44,94.7,0.876,0.943,0.936,0.971,0.05786,47.53,-0.6157,13.09,0.777,inf,0.831,0.91,0.1935,8970.0,0.831,0.919,0.0762,46.3,1.0
1.0,4.074,6.367,9.75,1.0,0.1683,0.003683,0.6963,0.1874,0.4358,0.4456,0.1683,1.0,0.2155,0.219,0.1599,0.904,0.1655,0.003683,0.2155,1.0,0.0729,0.03693,0.2612,0.04193,0.6963,0.219,0.0729,1.0,0.10846,0.612,0.753,0.1874,0.1599,0.03693,0.10846,1.0,0.1765,0.0889,0.4358,0.904,0.2612,0.612,0.1765,1.0,0.4604,0.4456,0.1655,0.04193,0.753,0.0889,0.4604,1.0,inf,3.074,0.7637,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,115.94,inf,180.9,249.4,0.0,0.0,15.54,24.94,39.56,58.12,85.6,128.0,191.5,288.2,465.2,659.0,9670.0,inf,0.0317,0.3145,-34.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98,inf,78.06,126.3,-2022.0,-0.1012,5.0,10.11,15.35,23.25,34.1,50.34,76.06,119.06,205.8,308.0,2996.0,0.316,148.5,0.8403,0.9473,0.9165,0.973,0.05032,81.3,1.031,43.16,0.543,inf,0.8286,0.6455,0.09985,22050.0,0.8306,0.743,0.0795,77.94,1.0
1.0,4.96,7.035,6.875,1.0,0.1683,0.003683,0.6963,0.1874,0.344,0.429,0.1683,1.0,0.2155,0.219,0.1599,0.96,0.2693,0.003683,0.2155,1.0,0.0729,0.03693,0.2698,0.0656,0.6963,0.219,0.0729,1.0,0.10846,0.4778,0.708,0.1874,0.1599,0.03693,0.10846,1.0,0.1742,0.1011,0.344,0.96,0.2698,0.4778,0.1742,1.0,0.4402,0.429,0.2693,0.0656,0.708,0.1011,0.4402,1.0,inf,3.078,0.681,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,88.44,inf,213.2,291.8,0.0,0.0,20.06,29.19,47.56,69.8,102.5,152.5,226.8,339.2,545.5,772.0,11816.0,inf,0.02892,0.17,-6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.03,inf,45.72,67.6,-805.0,4.457,5.0,5.82,10.29,14.54,20.94,30.52,45.28,69.0,115.9,170.4,1471.0,0.1725,81.6,0.9624,0.9946,0.981,0.9976,0.0301,45.94,0.9395,21.44,0.518,inf,0.936,0.922,0.02975,6660.0,0.9375,0.9463,0.05643,42.53,1.0
1.0,5.457,1.802,9.875,1.0,0.1683,0.003683,0.6963,0.1874,0.3904,0.4863,0.1683,1.0,0.2155,0.219,0.1599,0.9385,0.2734,0.003683,0.2155,1.0,0.0729,0.03693,0.2239,0.04984,0.6963,0.219,0.0729,1.0,0.10846,0.542,0.769,0.1874,0.1599,0.03693,0.10846,1.0,0.176,0.116,0.3904,0.9385,0.2239,0.542,0.176,1.0,0.507,0.4863,0.2734,0.04984,0.769,0.116,0.507,1.0,inf,3.148,1.098,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.158,139.0,inf,267.0,365.2,0.0,0.0,24.23,36.5,59.0,86.56,127.4,190.4,284.0,426.0,685.5,969.5,10616.0,inf,-0.0413,0.3906,-57.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19,inf,-8.02,54.03,-3692.0,-67.44,-29.73,-9.625,-3.885,-0.7285,1.346,2.55,4.69,5.848,14.055,25.23,4900.0,0.3928,54.6,0.9434,0.9785,0.971,0.9893,0.04648,19.02,-1.312,-3.006,0.827,inf,0.872,0.9775,0.1544,2982.0,0.8735,0.978,0.0847,22.12,1.0
1.0,9.05,4.24,9.68,1.0,0.1683,0.003683,0.6963,0.1874,0.3115,0.458,0.1683,1.0,0.2155,0.219,0.1599,0.9756,0.3916,0.003683,0.2155,1.0,0.0729,0.03693,0.2351,0.07306,0.6963,0.219,0.0729,1.0,0.10846,0.4277,0.699,0.1874,0.1599,0.03693,0.10846,1.0,0.1725,0.1317,0.3115,0.9756,0.2351,0.4277,0.1725,1.0,0.5195,0.458,0.3916,0.07306,0.699,0.1317,0.5195,1.0,inf,3.16,1.025,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.494,103.06,inf,306.2,420.2,0.0,0.0,29.9,41.53,68.7,100.8,147.6,219.2,325.5,486.0,781.5,1108.0,11304.0,inf,-0.0543,0.266,-21.36,-0.4805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.926,inf,-47.28,65.9,-1654.0,-173.1,-122.25,-75.94,-50.7,-34.0,-22.8,-15.48,-10.5,-6.355,-4.426,5.0,3022.0,0.2715,81.06,0.9897,0.9995,0.9946,0.9995,0.05432,48.06,-1.718,-15.445,0.7915,inf,0.9297,0.963,0.0737,6572.0,0.9326,0.9756,0.10175,43.84,1.0
1.0,5.188,5.414,4.086,1.0,0.1683,0.003683,0.6963,0.1874,0.2751,0.404,0.1683,1.0,0.2155,0.219,0.1599,0.9854,0.4097,0.003683,0.2155,1.0,0.0729,0.03693,0.26,0.0888,0.6963,0.219,0.0729,1.0,0.10846,0.377,0.626,0.1874,0.1599,0.03693,0.10846,1.0,0.17,0.12146,0.2751,0.9854,0.26,0.377,0.17,1.0,0.494,0.404,0.4097,0.0888,0.626,0.12146,0.494,1.0,inf,3.107,0.7485,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,77.6,inf,267.8,370.2,0.0,0.0,26.81,36.34,60.6,88.7,129.1,191.8,283.5,422.8,681.0,968.0,13470.0,inf,-0.0005784,0.08466,-2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.88,inf,-8.9,21.19,-1028.0,-43.78,-28.39,-15.55,-9.44,-6.03,-3.975,-2.662,-1.63,-0.378,5.0,5.0,805.5,0.08466,22.98,0.989,0.998,0.9946,0.999,0.01242,12.27,-0.01862,-3.322,0.5776,inf,0.9873,0.996,0.007164,528.0,0.9873,0.9966,0.01296,12.02,1.0
