like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,chain
0.9116,2.305,8.9,8.46,1.0,0.0846,-0.00976,0.665,0.1114,0.5474,0.1069,0.0846,1.0,0.307,0.117,0.002708,0.657,0.0046,-0.00976,0.307,1.0,0.0567,0.00399,0.2778,0.001263,0.665,0.117,0.0567,1.0,0.04303,0.8228,0.1892,0.1114,0.002708,0.00399,0.04303,1.0,0.03424,0.006927,0.5474,0.657,0.2778,0.8228,0.03424,1.0,0.1454,0.1069,0.0046,0.001263,0.1892,0.006927,0.1454,1.0,1.0
0.9995,4.637,8.49,4.426,1.0,0.0846,-0.00976,0.665,0.1114,0.2874,0.10645,0.0846,1.0,0.307,0.117,0.002708,0.947,0.01366,-0.00976,0.307,1.0,0.0567,0.00399,0.3438,0.003693,0.665,0.117,0.0567,1.0,0.04303,0.4268,0.1877,0.1114,0.002708,0.00399,0.04303,1.0,0.01637,0.00806,0.2874,0.947,0.3438,0.4268,0.01637,1.0,0.0724,0.10645,0.01366,0.003693,0.1877,0.00806,0.0724,1.0,1.0
0.9907,1.367,7.48,1.031,1.0,0.0846,-0.00976,0.665,0.1114,0.2388,0.0684,0.0846,1.0,0.307,0.117,0.002708,0.957,0.005802,-0.00976,0.307,1.0,0.0567,0.00399,0.4363,0.002462,0.665,0.117,0.0567,1.0,0.04303,0.3608,0.1355,0.1114,0.002708,0.00399,0.04303,1.0,0.01372,0.00462,0.2388,0.957,0.4363,0.3608,0.01372,1.0,0.03928,0.0684,0.005802,0.002462,0.1355,0.00462,0.03928,1.0,1.0
0.9785,9.57,8.09,2.926,1.0,0.0846,-0.00976,0.665,0.1114,0.1561,0.1305,0.0846,1.0,0.307,0.117,0.002708,0.9937,0.06494,-0.00976,0.307,1.0,0.0567,0.00399,0.3306,0.01639,0.665,0.117,0.0567,1.0,0.04303,0.2266,0.2086,0.1114,0.002708,0.00399,0.04303,1.0,0.00753,0.01666,0.1561,0.9937,0.3306,0.2266,0.00753,1.0,0.0868,0.1305,0.06494,0.01639,0.2086,0.01666,0.0868,1.0,1.0
0.9927,4.242,1.81,2.494,1.0,0.0846,-0.00976,0.665,0.1114,0.2192,0.1345,0.0846,1.0,0.307,0.117,0.002708,0.978,0.04297,-0.00976,0.307,1.0,0.0567,0.00399,0.316,0.010445,0.665,0.117,0.0567,1.0,0.04303,0.3208,0.2172,0.1114,0.002708,0.00399,0.04303,1.0,0.01162,0.01432,0.2192,0.978,0.316,0.3208,0.01162,1.0,0.0863,0.1345,0.04297,0.010445,0.2172,0.01432,0.0863,1.0,1.0
0.976,5.96,8.62,1.541,1.0,0.0846,-0.00976,0.665,0.1114,0.1442,0.1099,0.0846,1.0,0.307,0.117,0.002708,0.9946,0.05344,-0.00976,0.307,1.0,0.0567,0.00399,0.3472,0.01429,0.665,0.117,0.0567,1.0,0.04303,0.21,0.1837,0.1114,0.002708,0.00399,0.04303,1.0,0.006844,0.01318,0.1442,0.9946,0.3472,0.21,0.006844,1.0,0.0697,0.1099,0.05344,0.01429,0.1837,0.01318,0.0697,1.0,1.0
0.998,9.68,9.81,7.4,1.0,0.0846,-0.00976,0.665,0.1114,0.254,0.1184,0.0846,1.0,0.307,0.117,0.002708,0.9644,0.02373,-0.00976,0.307,1.0,0.0567,0.00399,0.3281,0.006,0.665,0.117,0.0567,1.0,0.04303,0.3745,0.2009,0.1114,0.002708,0.00399,0.04303,1.0,0.01401,0.01027,0.254,0.9644,0.3281,0.3745,0.01401,1.0,0.07526,0.1184,0.02373,0.006,0.2009,0.01027,0.07526,1.0,1.0
0.991,6.07,9.07,9.45,1.0,0.0846,-0.00976,0.665,0.1114,0.3838,0.11316,0.0846,1.0,0.307,0.117,0.002708,0.881,0.01011,-0.00976,0.307,1.0,0.0567,0.00399,0.3147,0.002605,0.665,0.117,0.0567,1.0,0.04303,0.572,0.1964,0.1114,0.002708,0.00399,0.04303,1.0,0.02277,0.008095,0.3838,0.881,0.3147,0.572,0.02277,1.0,0.1015,0.11316,0.01011,0.002605,0.1964,0.008095,0.1015,1.0,1.0
0.993,6.5,8.3,3.809,1.0,0.0846,-0.00976,0.665,0.1114,0.2168,0.1134,0.0846,1.0,0.307,0.117,0.002708,0.978,0.02727,-0.00976,0.307,1.0,0.0567,0.00399,0.3386,0.0071,0.665,0.117,0.0567,1.0,0.04303,0.319,0.1942,0.1114,0.002708,0.00399,0.04303,1.0,0.0116,0.01031,0.2168,0.978,0.3386,0.319,0.0116,1.0,0.0661,0.1134,0.02727,0.0071,0.1942,0.01031,0.0661,1.0,1.0
0.864,1.405,5.434,7.258,1.0,0.0846,-0.00976,0.665,0.1114,0.594,0.1101,0.0846,1.0,0.307,0.117,0.002708,0.5483,0.0044,-0.00976,0.307,1.0,0.0567,0.00399,0.2335,0.001168,0.665,0.117,0.0567,1.0,0.04303,0.893,0.1931,0.1114,0.002708,0.00399,0.04303,1.0,0.0375,0.007122,0.594,0.5483,0.2335,0.893,0.0375,1.0,0.1641,0.1101,0.0044,0.001168,0.1931,0.007122,0.1641,1.0,1.0
