like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
1.0,8.31,8.32,8.31,1.0
0.9995,9.44,8.414,8.586,1.0
0.9985,7.2,8.51,8.87,1.0
0.9883,4.965,8.6,9.15,1.0
0.9697,2.729,8.695,9.43,1.0
0.957,1.508,8.78,9.7,1.0
0.9766,3.744,8.875,9.984,1.0
0.992,5.98,8.97,9.71,1.0
0.999,8.22,9.06,9.44,1.0
1.0,9.53,9.16,9.16,1.0
0.998,7.293,9.25,8.875,1.0
0.9897,5.06,9.34,8.59,1.0
0.973,2.82,9.44,8.32,1.0
0.961,1.415,9.53,8.04,1.0
0.9805,3.65,9.625,7.758,1.0
0.9937,5.887,9.72,7.48,1.0
0.997,8.125,9.81,7.2,1.0
0.995,9.625,9.91,6.92,1.0
0.9946,7.387,9.99,6.64,1.0
0.9883,5.15,9.914,6.36,1.0
0.9717,2.914,9.82,6.082,1.0
0.956,1.322,9.73,5.8,1.0
0.976,3.559,9.63,5.523,1.0
0.988,5.793,9.54,5.242,1.0
0.9873,8.03,9.445,4.965,1.0
0.9805,9.71,9.35,4.684,1.0
0.984,7.48,9.26,4.406,1.0
0.9795,5.242,9.164,4.125,1.0
0.9614,3.008,9.07,3.846,1.0
0.9365,1.229,8.98,3.566,1.0
0.96,3.465,8.88,3.287,1.0
0.9688,5.7,8.8,3.008,1.0
0.9614,7.938,8.7,2.729,1.0
0.9478,9.805,8.61,2.447,1.0
0.9517,7.57,8.516,2.168,1.0
0.9473,5.336,8.42,1.89,1.0
0.9214,3.1,8.33,1.609,1.0
0.873,1.136,8.234,1.33,1.0
0.9062,3.371,8.14,1.051,1.0
0.9307,5.605,8.05,1.229,1.0
0.9355,7.844,7.953,1.508,1.0
0.9316,9.9,7.863,1.788,1.0
0.9507,7.664,7.77,2.066,1.0
0.9634,5.43,7.676,2.346,1.0
0.959,3.193,7.582,2.627,1.0
0.9355,1.042,7.49,2.906,1.0
0.971,3.277,7.395,3.186,1.0
0.984,5.516,7.3,3.465,1.0
0.9805,7.75,7.21,3.744,1.0
0.971,9.984,7.117,4.023,1.0
0.987,7.758,7.023,4.305,1.0
0.995,5.523,6.93,4.582,1.0
0.9873,3.287,6.836,4.863,1.0
0.962,1.051,6.742,5.14,1.0
0.9873,3.186,6.652,5.42,1.0
0.999,5.42,6.56,5.7,1.0
0.9976,7.656,6.465,5.98,1.0
0.9897,9.89,6.37,6.258,1.0
0.998,7.85,6.277,6.54,1.0
0.9985,5.617,6.184,6.816,1.0
0.9844,3.379,6.09,7.098,1.0
0.9546,1.144,6.0,7.38,1.0
0.9775,3.092,5.906,7.656,1.0
0.993,5.33,5.812,7.938,1.0
