like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
0.9995,9.14,6.65,2.795,1.0
0.9995,6.906,6.74,2.516,1.0
0.9995,4.67,6.832,2.236,1.0
0.9995,2.436,6.926,1.958,1.0
0.9995,1.821,7.02,1.679,1.0
0.9995,4.06,7.11,1.399,1.0
0.999,6.293,7.203,1.12,1.0
0.999,8.53,7.297,1.159,1.0
0.999,9.234,7.39,1.4375,1.0
0.9995,7.0,7.48,1.717,1.0
0.9995,4.766,7.574,1.996,1.0
0.9995,2.527,7.668,2.275,1.0
0.9995,1.728,7.76,2.555,1.0
0.9995,3.963,7.855,2.834,1.0
0.9995,6.2,7.945,3.113,1.0
0.9995,8.44,8.04,3.393,1.0
0.9995,9.33,8.13,3.672,1.0
1.0,7.094,8.23,3.951,1.0
1.0,4.855,8.32,4.23,1.0
0.9995,2.621,8.414,4.508,1.0
0.9995,1.635,8.5,4.79,1.0
1.0,3.871,8.59,5.066,1.0
1.0,6.105,8.69,5.348,1.0
1.0,8.34,8.78,5.625,1.0
1.0,9.42,8.875,5.906,1.0
1.0,7.188,8.97,6.184,1.0
1.0,4.95,9.06,6.465,1.0
1.0,2.715,9.16,6.742,1.0
0.9995,1.542,9.25,7.02,1.0
1.0,3.777,9.336,7.3,1.0
1.0,6.01,9.43,7.58,1.0
1.0,8.25,9.52,7.86,1.0
1.0,9.516,9.62,8.14,1.0
1.0,7.277,9.71,8.414,1.0
1.0,5.043,9.805,8.695,1.0
1.0,2.807,9.9,8.98,1.0
0.9995,1.448,9.95,9.26,1.0
1.0,3.684,9.86,9.53,1.0
1.0,5.92,9.766,9.81,1.0
1.0,8.16,9.67,9.87,1.0
1.0,8.83,8.8,8.805,1.0
1.0,8.92,8.914,9.086,1.0
1.0,9.01,6.684,9.37,1.0
1.0,9.1,4.457,9.64,1.0
0.9995,9.195,2.227,9.92,1.0
0.9995,9.29,2.021,9.76,1.0
1.0,9.38,4.25,9.48,1.0
1.0,9.48,6.477,9.2,1.0
1.0,9.57,8.7,8.92,1.0
1.0,9.664,9.01,8.64,1.0
1.0,9.76,6.777,8.36,1.0
0.9995,9.85,4.547,8.086,1.0
0.9995,9.945,2.32,7.805,1.0
0.999,9.96,1.928,7.523,1.0
0.9995,9.87,4.156,7.246,1.0
1.0,9.78,6.387,6.965,1.0
1.0,9.69,8.62,6.688,1.0
1.0,9.59,9.1,6.406,1.0
1.0,9.5,6.87,6.13,1.0
0.9995,9.41,4.64,5.848,1.0
0.999,9.31,2.412,5.57,1.0
0.9985,9.22,1.835,5.29,1.0
0.9995,9.125,4.062,5.01,1.0
0.9995,9.03,6.293,4.734,1.0
1.0,8.94,8.52,4.453,1.0
0.9995,8.84,9.19,4.176,1.0
0.9995,8.75,6.96,3.895,1.0
0.9995,8.66,4.734,3.615,1.0
0.9985,8.56,2.506,3.336,1.0
0.9976,8.48,1.742,3.057,1.0
0.999,8.38,3.97,2.78,1.0
0.9995,8.29,6.2,2.5,1.0
0.9995,8.195,8.43,2.22,1.0
0.9995,8.1,9.28,1.94,1.0
0.999,8.01,7.055,1.662,1.0
0.9985,7.914,4.83,1.383,1.0
0.9966,7.82,2.6,1.104,1.0
0.9956,7.727,1.649,1.176,1.0
0.998,7.633,3.879,1.455,1.0
0.999,7.543,6.105,1.734,1.0
0.9995,7.45,8.336,2.014,1.0
0.9995,7.355,9.375,2.293,1.0
0.9995,7.26,7.15,2.572,1.0
0.9995,7.168,4.92,2.852,1.0
0.999,7.074,2.691,3.13,1.0
0.9985,6.984,1.557,3.408,1.0
0.9995,6.89,3.785,3.688,1.0
1.0,6.797,6.01,3.967,1.0
1.0,6.703,8.24,4.246,1.0
1.0,6.61,9.47,4.527,1.0
1.0,6.516,7.242,4.805,1.0
1.0,6.42,5.01,5.086,1.0
0.9995,6.332,2.785,5.363,1.0
0.9995,6.24,1.464,5.64,1.0
1.0,6.145,3.691,5.92,1.0
1.0,6.05,5.92,6.2,1.0
1.0,5.957,8.15,6.48,1.0
1.0,5.863,9.56,6.758,1.0
1.0,5.773,7.336,7.04,1.0
1.0,5.68,5.105,7.316,1.0
0.9995,5.586,2.877,7.598,1.0
0.9995,5.492,1.371,7.875,1.0
0.9995,5.4,3.6,8.16,1.0
1.0,5.305,5.83,8.44,1.0
1.0,5.21,8.055,8.71,1.0
1.0,5.12,9.66,8.99,1.0
1.0,5.027,7.426,9.27,1.0
0.9995,4.934,5.2,9.555,1.0
0.9995,4.84,2.97,9.83,1.0
0.999,4.746,1.278,9.85,1.0
0.9995,4.652,3.506,9.57,1.0
0.9995,4.56,5.734,9.29,1.0
1.0,4.47,7.965,9.016,1.0
1.0,4.375,9.75,8.734,1.0
1.0,4.28,7.52,8.45,1.0
1.0,4.188,5.293,8.17,1.0
0.9995,4.094,3.062,7.9,1.0
0.999,4.0,1.186,7.617,1.0
0.9995,3.908,3.414,7.34,1.0
1.0,3.814,5.64,7.06,1.0
1.0,3.723,7.87,6.78,1.0
1.0,3.629,9.84,6.5,1.0
1.0,3.535,7.613,6.223,1.0
1.0,3.443,5.383,5.94,1.0
1.0,3.35,3.156,5.664,1.0
0.9995,3.256,1.093,5.383,1.0
1.0,3.162,3.32,5.105,1.0
1.0,3.07,5.55,4.824,1.0
1.0,2.977,7.777,4.547,1.0
0.9995,2.883,9.94,4.266,1.0
0.9995,2.791,7.707,3.988,1.0
1.0,2.697,5.477,3.709,1.0
1.0,2.604,3.248,3.43,1.0
0.9995,2.512,1.0205,3.15,1.0
1.0,2.418,3.229,2.871,1.0
0.9995,2.324,5.457,2.592,1.0
0.9995,2.23,7.684,2.312,1.0
0.999,2.139,9.914,2.033,1.0
0.999,2.045,7.797,1.755,1.0
0.9995,1.952,5.57,1.476,1.0
0.9995,1.858,3.342,1.196,1.0
0.9995,1.766,1.113,1.083,1.0
0.9995,1.673,3.135,1.362,1.0
0.9995,1.579,5.363,1.641,1.0
0.9995,1.486,7.594,1.92,1.0
0.999,1.393,9.82,2.2,1.0
0.9995,1.3,7.89,2.479,1.0
0.9995,1.207,5.664,2.758,1.0
1.0,1.113,3.434,3.037,1.0
0.999,1.0205,1.206,3.316,1.0
0.9995,1.093,3.043,3.596,1.0
1.0,1.186,5.27,3.875,1.0
0.9995,1.279,7.5,4.152,1.0
0.9995,1.372,9.73,4.434,1.0
0.9995,1.466,7.984,4.71,1.0
