like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,simulation_100,simulation_101,simulation_102,simulation_103,simulation_104,simulation_105,simulation_106,simulation_107,simulation_108,simulation_109,simulation_110,simulation_111,simulation_112,simulation_113,simulation_114,simulation_115,simulation_116,chain
0.906,5.53,4.574,9.15,1.0,0.1224,0.002691,0.4622,0.1239,0.1859,0.2019,0.1224,1.0,0.3318,0.2637,0.0931,0.989,0.03012,0.002691,0.3318,1.0,0.173,0.03653,0.3606,0.010124,0.4622,0.2637,0.173,1.0,0.0565,0.4048,0.5356,0.1239,0.0931,0.03653,0.0565,1.0,0.09705,0.01351,0.1859,0.989,0.3606,0.4048,0.09705,1.0,0.11053,0.2019,0.03012,0.010124,0.5356,0.01351,0.11053,1.0,3.002,0.0928,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,64.5,97.3,128.0,0.0,0.0,0.2319,22.89,30.64,44.62,56.7,74.44,98.8,139.9,228.5,334.2,4340.0,-0.0001553,0.03001,-19.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.625,19.05,-1273.0,-1.936,0.0,0.6953,3.568,4.3,6.363,8.45,11.62,16.9,29.25,44.94,552.5,0.03001,22.31,0.0004761,12.34,-0.005173,11.945,0.0006313,11.21,1.0
0.8677,9.17,1.571,6.156,1.0,0.1224,0.002691,0.4622,0.1239,0.1498,0.194,0.1224,1.0,0.3318,0.2637,0.0931,0.998,0.1866,0.002691,0.3318,1.0,0.173,0.03653,0.3408,0.0546,0.4622,0.2637,0.173,1.0,0.0565,0.3237,0.4504,0.1239,0.0931,0.03653,0.0565,1.0,0.095,0.03198,0.1498,0.998,0.3408,0.3237,0.095,1.0,0.2122,0.194,0.1866,0.0546,0.4504,0.03198,0.2122,1.0,3.004,0.11646,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,49.9,172.4,232.5,0.0,0.0,0.09076,42.72,52.16,77.25,98.0,130.9,174.0,246.5,407.0,600.5,5456.0,-0.0026,0.0653,-9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.47,87.3,-2078.0,-223.4,-150.4,-90.5,-63.97,-48.1,-35.44,-27.6,-18.31,-16.05,0.0,0.0,456.5,0.06537,107.94,0.0026,63.5,-0.08655,-36.8,0.005184,53.8,1.0
0.8647,4.547,2.395,7.824,1.0,0.1224,0.002691,0.4622,0.1239,0.1888,0.2087,0.1224,1.0,0.3318,0.2637,0.0931,0.988,0.03482,0.002691,0.3318,1.0,0.173,0.03653,0.3538,0.01108,0.4622,0.2637,0.173,1.0,0.0565,0.4097,0.5454,0.1239,0.0931,0.03653,0.0565,1.0,0.0971,0.014694,0.1888,0.988,0.3538,0.4097,0.0971,1.0,0.11975,0.2087,0.03482,0.01108,0.5454,0.014694,0.11975,1.0,3.002,0.10645,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,71.94,104.4,137.2,0.0,0.0,0.1583,24.48,32.97,47.84,60.9,79.9,106.06,150.1,245.1,358.5,4830.0,-0.0004342,0.04233,-26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.683,4.535,12.12,-1767.0,-5.43,-2.795,0.0,0.1671,1.96,2.432,3.838,5.176,7.746,13.93,22.36,707.0,0.04233,12.94,0.000595,6.547,-0.014465,4.344,0.001029,6.234,1.0
0.8125,5.348,8.82,2.498,1.0,0.1224,0.002691,0.4622,0.1239,0.1396,0.1317,0.1224,1.0,0.3318,0.2637,0.0931,0.998,0.0903,0.002691,0.3318,1.0,0.173,0.03653,0.3748,0.0375,0.4622,0.2637,0.173,1.0,0.0565,0.3083,0.3533,0.1239,0.0931,0.03653,0.0565,1.0,0.0946,0.01598,0.1396,0.998,0.3748,0.3083,0.0946,1.0,0.1051,0.1317,0.0903,0.0375,0.3533,0.01598,0.1051,1.0,3.0,0.03433,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.95,102.3,138.6,0.0,0.0,0.5166,25.62,30.73,45.6,57.88,77.5,103.06,146.0,241.5,357.2,3730.0,0.000494,0.0397,-0.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,6.65,9.82,-685.5,0.0,0.0,0.992,1.759,2.807,4.11,5.57,7.438,10.266,15.69,21.84,1653.0,0.0397,11.86,0.000496,6.715,0.01646,6.5,0.000989,5.617,1.0
0.829,3.951,4.406,9.734,1.0,0.1224,0.002691,0.4622,0.1239,0.213,0.201,0.1224,1.0,0.3318,0.2637,0.0931,0.9766,0.013855,0.002691,0.3318,1.0,0.173,0.03653,0.368,0.004616,0.4622,0.2637,0.173,1.0,0.0565,0.4644,0.54,0.1239,0.0931,0.03653,0.0565,1.0,0.0981,0.01141,0.213,0.9766,0.368,0.4644,0.0981,1.0,0.1315,0.201,0.013855,0.004616,0.54,0.01141,0.1315,1.0,3.002,0.1008,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,72.9,77.6,100.9,0.0,0.0,0.2378,17.64,25.2,35.34,45.94,59.84,79.5,112.1,181.8,264.5,4890.0,-8.553e-05,0.0433,-27.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.855,31.3,47.03,-1831.0,-0.2214,0.0,5.58,9.09,11.93,17.69,22.89,31.0,44.84,76.3,115.7,1171.0,0.0433,56.5,0.000721,32.03,-0.00285,40.3,0.0008063,28.33,1.0
0.9033,8.41,1.615,7.22,1.0,0.1224,0.002691,0.4622,0.1239,0.1571,0.2043,0.1224,1.0,0.3318,0.2637,0.0931,0.9966,0.1406,0.002691,0.3318,1.0,0.173,0.03653,0.3425,0.0415,0.4622,0.2637,0.173,1.0,0.0565,0.3396,0.493,0.1239,0.0931,0.03653,0.0565,1.0,0.09546,0.02705,0.1571,0.9966,0.3425,0.3396,0.09546,1.0,0.1775,0.2043,0.1406,0.0415,0.493,0.02705,0.1775,1.0,3.002,0.11224,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,57.16,156.6,210.1,0.0,0.0,0.0915,38.4,47.9,71.0,89.56,119.0,158.2,224.2,369.5,544.5,4916.0,-0.001865,0.05316,-11.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.72,64.8,-1535.0,-166.9,-112.9,-68.25,-48.16,-36.22,-27.02,-21.12,-14.21,-11.914,0.0,0.0,459.8,0.0532,80.5,0.001865,47.75,-0.06213,-30.47,0.003723,40.12,1.0
0.991,7.8,7.37,8.8,1.0,0.1224,0.002691,0.4622,0.1239,0.1664,0.192,0.1224,1.0,0.3318,0.2637,0.0931,0.994,0.05267,0.002691,0.3318,1.0,0.173,0.03653,0.3616,0.01828,0.4622,0.2637,0.173,1.0,0.0565,0.363,0.509,0.1239,0.0931,0.03653,0.0565,1.0,0.09607,0.01537,0.1664,0.994,0.3616,0.363,0.09607,1.0,0.1049,0.192,0.05267,0.01828,0.509,0.01537,0.1049,1.0,3.0,0.0742,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,49.97,107.1,142.6,0.0,0.0,0.3003,25.86,33.22,49.4,61.7,81.5,108.3,153.5,252.1,370.5,3458.0,-4.584e-05,0.007133,-4.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872,1.829,3.318,-302.5,-0.615,-0.0872,0.012436,0.555,0.6826,0.9575,1.347,1.873,2.727,4.78,7.434,121.2,0.007133,3.79,0.0001062,2.049,-0.001528,1.708,0.0001521,1.897,1.0
0.976,7.574,9.79,9.21,1.0,0.1224,0.002691,0.4622,0.1239,0.1692,0.1862,0.1224,1.0,0.3318,0.2637,0.0931,0.993,0.0359,0.002691,0.3318,1.0,0.173,0.03653,0.3699,0.01348,0.4622,0.2637,0.173,1.0,0.0565,0.3706,0.5054,0.1239,0.0931,0.03653,0.0565,1.0,0.09625,0.01291,0.1692,0.993,0.3699,0.3706,0.09625,1.0,0.0921,0.1862,0.0359,0.01348,0.5054,0.01291,0.0921,1.0,3.0,0.0656,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,47.16,94.6,125.6,0.0,0.0,0.3596,22.73,29.45,43.62,54.62,72.0,95.7,135.6,222.6,326.8,3184.0,0.0002145,0.01065,-1.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.094,14.336,20.03,-115.25,-0.03424,0.0,3.615,4.066,6.12,7.957,10.75,14.35,20.42,34.12,50.9,478.5,0.01066,24.62,0.0002297,14.375,0.007145,15.16,0.000444,12.28,1.0
0.7734,6.707,9.28,1.694,1.0,0.1224,0.002691,0.4622,0.1239,0.1313,0.10046,0.1224,1.0,0.3318,0.2637,0.0931,0.999,0.1476,0.002691,0.3318,1.0,0.173,0.03653,0.3674,0.0557,0.4622,0.2637,0.173,1.0,0.0565,0.2893,0.2393,0.1239,0.0931,0.03653,0.0565,1.0,0.094,0.02092,0.1313,0.999,0.3674,0.2893,0.094,1.0,0.1526,0.10046,0.1476,0.0557,0.2393,0.02092,0.1526,1.0,3.0,0.0394,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18.23,119.0,162.5,0.0,0.0,0.512,30.16,35.1,52.44,66.75,90.25,119.9,169.6,281.5,417.2,4250.0,0.0002372,0.0477,-2.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.97,-10.08,19.89,-843.0,-42.7,-27.2,-15.42,-10.56,-7.63,-5.16,-3.861,-2.275,0.0,1.791,5.008,2132.0,0.0477,22.3,0.0006547,11.87,0.007904,-8.47,0.0008917,11.11,1.0
0.7266,2.203,8.305,9.47,1.0,0.1224,0.002691,0.4622,0.1239,0.2598,0.1858,0.1224,1.0,0.3318,0.2637,0.0931,0.9365,0.006653,0.002691,0.3318,1.0,0.173,0.03653,0.417,0.0022,0.4622,0.2637,0.173,1.0,0.0565,0.5757,0.5176,0.1239,0.0931,0.03653,0.0565,1.0,0.0987,0.00904,0.2598,0.9365,0.417,0.5757,0.0987,1.0,0.1842,0.1858,0.006653,0.0022,0.5176,0.00904,0.1842,1.0,3.0,0.0809,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,64.1,44.1,56.62,0.0,0.0,0.4058,9.37,15.01,20.03,26.73,34.8,45.97,64.4,102.8,147.9,4292.0,0.0002744,0.0343,-18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59,64.8,91.94,-1246.0,-0.0804,0.0,15.586,18.39,26.88,36.03,48.2,64.56,92.3,155.0,232.1,2200.0,0.0343,112.5,0.0006137,65.2,0.00914,147.0,0.000888,56.16,1.0
