like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,chain
0.86,1.497,6.086,8.445,1.0,0.1683,0.003683,0.6963,0.1874,0.5796,0.4177,0.1683,1.0,0.2155,0.219,0.1599,0.721,0.0682,0.003683,0.2155,1.0,0.0729,0.03693,0.2717,0.02533,0.6963,0.219,0.0729,1.0,0.10846,0.8267,0.737,0.1874,0.1599,0.03693,0.10846,1.0,0.167,0.0705,0.5796,0.721,0.2717,0.8267,0.167,1.0,0.5557,0.4177,0.0682,0.02533,0.737,0.0705,0.5557,1.0,1.0
0.998,5.035,2.832,4.586,1.0,0.1683,0.003683,0.6963,0.1874,0.292,0.442,0.1683,1.0,0.2155,0.219,0.1599,0.9814,0.4202,0.003683,0.2155,1.0,0.0729,0.03693,0.2397,0.0801,0.6963,0.219,0.0729,1.0,0.10846,0.4,0.669,0.1874,0.1599,0.03693,0.10846,1.0,0.1713,0.1337,0.292,0.9814,0.2397,0.4,0.1713,1.0,0.524,0.442,0.4202,0.0801,0.669,0.1337,0.524,1.0,1.0
0.9976,7.63,3.592,9.164,1.0,0.1683,0.003683,0.6963,0.1874,0.3267,0.4648,0.1683,1.0,0.2155,0.219,0.1599,0.9697,0.364,0.003683,0.2155,1.0,0.0729,0.03693,0.2344,0.068,0.6963,0.219,0.0729,1.0,0.10846,0.45,0.7173,0.1874,0.1599,0.03693,0.10846,1.0,0.1733,0.1277,0.3267,0.9697,0.2344,0.45,0.1733,1.0,0.511,0.4648,0.364,0.068,0.7173,0.1277,0.511,1.0,1.0
0.9414,2.943,1.354,8.65,1.0,0.1683,0.003683,0.6963,0.1874,0.479,0.483,0.1683,1.0,0.2155,0.219,0.1599,0.8696,0.1682,0.003683,0.2155,1.0,0.0729,0.03693,0.2158,0.03232,0.6963,0.219,0.0729,1.0,0.10846,0.672,0.7896,0.1874,0.1599,0.03693,0.10846,1.0,0.1761,0.09796,0.479,0.8696,0.2158,0.672,0.1761,1.0,0.5264,0.483,0.1682,0.03232,0.7896,0.09796,0.5264,1.0,1.0
0.945,6.695,9.49,1.386,1.0,0.1683,0.003683,0.6963,0.1874,0.1959,0.2815,0.1683,1.0,0.2155,0.219,0.1599,0.997,0.52,0.003683,0.2155,1.0,0.0729,0.03693,0.277,0.1248,0.6963,0.219,0.0729,1.0,0.10846,0.2637,0.3975,0.1874,0.1599,0.03693,0.10846,1.0,0.163,0.118,0.1959,0.997,0.277,0.2637,0.163,1.0,0.532,0.2815,0.52,0.1248,0.3975,0.118,0.532,1.0,1.0
0.9946,5.82,3.201,4.535,1.0,0.1683,0.003683,0.6963,0.1874,0.2756,0.4307,0.1683,1.0,0.2155,0.219,0.1599,0.9863,0.4536,0.003683,0.2155,1.0,0.0729,0.03693,0.2399,0.0861,0.6963,0.219,0.0729,1.0,0.10846,0.376,0.6416,0.1874,0.1599,0.03693,0.10846,1.0,0.17,0.1383,0.2756,0.9863,0.2399,0.376,0.17,1.0,0.5376,0.4307,0.4536,0.0861,0.6416,0.1383,0.5376,1.0,1.0
0.999,8.9,6.01,9.8,1.0,0.1683,0.003683,0.6963,0.1874,0.3145,0.4492,0.1683,1.0,0.2155,0.219,0.1599,0.974,0.3687,0.003683,0.2155,1.0,0.0729,0.03693,0.2433,0.0725,0.6963,0.219,0.0729,1.0,0.10846,0.4329,0.6973,0.1874,0.1599,0.03693,0.10846,1.0,0.1727,0.12445,0.3145,0.974,0.2433,0.4329,0.1727,1.0,0.5005,0.4492,0.3687,0.0725,0.6973,0.12445,0.5005,1.0,1.0
0.983,2.84,5.29,4.72,1.0,0.1683,0.003683,0.6963,0.1874,0.3704,0.4214,0.1683,1.0,0.2155,0.219,0.1599,0.9453,0.2134,0.003683,0.2155,1.0,0.0729,0.03693,0.283,0.05954,0.6963,0.219,0.0729,1.0,0.10846,0.5176,0.7153,0.1874,0.1599,0.03693,0.10846,1.0,0.1752,0.09045,0.3704,0.9453,0.283,0.5176,0.1752,1.0,0.4194,0.4214,0.2134,0.05954,0.7153,0.09045,0.4194,1.0,1.0
0.998,6.27,9.99,5.934,1.0,0.1683,0.003683,0.6963,0.1874,0.2932,0.3928,0.1683,1.0,0.2155,0.219,0.1599,0.9785,0.3347,0.003683,0.2155,1.0,0.0729,0.03693,0.281,0.0859,0.6963,0.219,0.0729,1.0,0.10846,0.4048,0.641,0.1874,0.1599,0.03693,0.10846,1.0,0.1711,0.10394,0.2932,0.9785,0.281,0.4048,0.1711,1.0,0.441,0.3928,0.3347,0.0859,0.641,0.10394,0.441,1.0,1.0
0.9214,8.99,3.074,1.095,1.0,0.1683,0.003683,0.6963,0.1874,0.1858,0.3398,0.1683,1.0,0.2155,0.219,0.1599,0.9995,0.6465,0.003683,0.2155,1.0,0.0729,0.03693,0.2311,0.11676,0.6963,0.219,0.0729,1.0,0.10846,0.2455,0.4238,0.1874,0.1599,0.03693,0.10846,1.0,0.1619,0.1699,0.1858,0.9995,0.2311,0.2455,0.1619,1.0,0.6533,0.3398,0.6465,0.11676,0.4238,0.1699,0.6533,1.0,1.0
