like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
1.0,4.324,4.34,4.332,1.0
0.978,6.55,4.434,4.61,1.0
0.937,8.78,4.527,4.887,1.0
0.942,8.93,4.62,5.168,1.0
0.9883,6.703,4.71,5.445,1.0
0.994,4.477,4.805,5.727,1.0
0.9404,2.246,4.9,6.004,1.0
0.9297,2.002,4.992,6.285,1.0
0.983,4.23,5.086,6.562,1.0
0.9966,6.457,5.18,6.844,1.0
0.982,8.69,5.27,7.12,1.0
0.981,9.02,5.363,7.402,1.0
0.9956,6.797,5.457,7.68,1.0
0.973,4.566,5.55,7.96,1.0
0.9194,2.34,5.645,8.24,1.0
0.9067,1.909,5.734,8.516,1.0
0.956,4.137,5.83,8.8,1.0
0.9863,6.367,5.92,9.08,1.0
0.992,8.59,6.016,9.35,1.0
0.991,9.12,6.11,9.63,1.0
0.9854,6.89,6.203,9.914,1.0
0.9565,4.66,6.293,9.79,1.0
0.913,2.432,6.387,9.51,1.0
0.904,1.815,6.48,9.23,1.0
0.954,4.043,6.574,8.95,1.0
0.99,6.273,6.668,8.67,1.0
0.997,8.5,6.758,8.39,1.0
0.993,9.21,6.85,8.11,1.0
0.9985,6.98,6.945,7.832,1.0
0.9795,4.754,7.04,7.555,1.0
0.936,2.525,7.133,7.273,1.0
0.9214,1.723,7.227,6.996,1.0
0.9697,3.951,7.316,6.715,1.0
0.9976,6.18,7.41,6.438,1.0
0.99,8.41,7.504,6.156,1.0
0.978,9.305,7.598,5.88,1.0
0.994,7.074,7.69,5.598,1.0
0.984,4.848,7.785,5.32,1.0
0.939,2.62,7.875,5.043,1.0
0.9146,1.63,7.97,4.76,1.0
0.9614,3.86,8.06,4.484,1.0
0.9795,6.086,8.16,4.203,1.0
0.958,8.31,8.25,3.924,1.0
0.9355,9.4,8.34,3.645,1.0
0.9575,7.168,8.44,3.367,1.0
0.951,4.938,8.53,3.088,1.0
0.897,2.71,8.62,2.809,1.0
0.8535,1.537,8.71,2.53,1.0
0.9053,3.766,8.805,2.25,1.0
0.9194,5.992,8.9,1.971,1.0
0.8906,8.22,8.99,1.691,1.0
0.8604,9.49,9.086,1.412,1.0
0.8794,7.26,9.18,1.133,1.0
0.881,5.03,9.27,1.166,1.0
0.837,2.805,9.37,1.445,1.0
0.805,1.444,9.46,1.725,1.0
0.8813,3.674,9.555,2.004,1.0
0.923,5.902,9.64,2.283,1.0
0.924,8.13,9.734,2.562,1.0
0.9165,9.58,9.83,2.842,1.0
0.9443,7.355,9.92,3.121,1.0
0.94,5.125,9.984,3.4,1.0
0.902,2.896,9.89,3.68,1.0
0.879,1.352,9.8,3.959,1.0
0.93,3.58,9.7,4.24,1.0
0.969,5.81,9.61,4.516,1.0
0.976,8.04,9.516,4.797,1.0
0.9673,9.67,9.42,5.074,1.0
0.9854,7.445,9.33,5.355,1.0
0.9756,5.22,9.24,5.633,1.0
0.938,2.99,9.15,5.914,1.0
0.911,1.259,9.055,6.19,1.0
0.95,3.486,8.96,6.47,1.0
0.9863,5.715,8.87,6.75,1.0
0.9976,7.945,8.77,7.027,1.0
