,zone,med,stdev,mean,topo_type,pzone
6,slope_5m_pzone_7_cog,0.8249532580375671,2.737288475036621,1.5812945365905762,slope,7
7,slope_5m_pzone_8_cog,0.7497910261154175,2.1202232837676998,1.3878979682922363,slope,8
8,slope_5m_pzone_9_cog,0.5572469234466553,1.2270972728729248,0.9202011227607728,slope,9
9,slope_5m_pzone_10_cog,0.6378327012062073,1.2155492305755615,1.0178389549255369,slope,10
10,slope_5m_pzone_11_cog,1.456092119216919,3.127373456954956,2.5538229942321777,slope,11
11,slope_5m_pzone_12_cog,0.5311315655708313,1.3555879592895508,0.911428451538086,slope,12
12,slope_5m_pzone_13_cog,0.4411762058734894,1.0677757263183594,0.754745602607727,slope,13
13,slope_5m_pzone_14_cog,0.742431104183197,1.5275114774703982,1.1700857877731323,slope,14
14,slope_5m_pzone_15_cog,0.5051799416542053,1.290618658065796,0.8843011856079102,slope,15
15,slope_5m_pzone_16_cog,0.7119396328926086,1.8579530715942385,1.2418111562728882,slope,16
16,slope_5m_pzone_17_cog,0.606867790222168,1.3419986963272097,0.999508261680603,slope,17
17,slope_5m_pzone_18_cog,0.9299209713935852,2.0313434600830083,1.5182472467422483,slope,18
18,slope_5m_pzone_19_cog,0.7958787083625793,2.0132493972778316,1.3613446950912476,slope,19
19,slope_5m_pzone_20_cog,0.736240565776825,1.578959822654724,1.2193766832351685,slope,20
20,slope_5m_pzone_21_cog,1.0749361515045166,2.8898961544036865,2.1085553169250493,slope,21
21,slope_5m_pzone_22_cog,0.4937579035758972,2.9468743801116943,1.311047077178955,slope,22
0,tri_5m_pzone_1_cog,0.05674922838807106,0.10823841392993927,0.0872107744216919,tri,1
1,tri_5m_pzone_2_cog,0.05753313004970551,0.22019463777542114,0.1104314550757408,tri,2
2,tri_5m_pzone_3_cog,0.11980803310871126,0.2564686238765717,0.2072514444589615,tri,3
3,tri_5m_pzone_4_cog,0.05092858523130417,0.1247989386320114,0.08864422887563705,tri,4
4,tri_5m_pzone_5_cog,0.05622752010822296,0.29470309615135193,0.14597223699092865,tri,5
5,tri_5m_pzone_6_cog,0.060224059969186776,0.10443541407585144,0.09028016030788423,tri,6
6,tri_5m_pzone_7_cog,0.07189148664474487,0.20490826666355133,0.12820231914520264,tri,7
7,tri_5m_pzone_8_cog,0.06682543456554413,0.14857003092765808,0.11054934561252594,tri,8
8,tri_5m_pzone_9_cog,0.05212439224123955,0.10099740326404573,0.08155795186758041,tri,9
9,tri_5m_pzone_10_cog,0.06423696130514145,0.0906539261341095,0.09104778617620468,tri,10
10,tri_5m_pzone_11_cog,0.11790373176336287,0.20709379017353055,0.18893413245677948,tri,11
11,tri_5m_pzone_12_cog,0.05504579097032547,0.10760575532913208,0.08297178149223328,tri,12
12,tri_5m_pzone_13_cog,0.044927790760993964,0.09012357145547867,0.06982172280550003,tri,13
13,tri_5m_pzone_14_cog,0.06566553562879562,0.12188798189163208,0.09890416264533997,tri,14
14,tri_5m_pzone_15_cog,0.05090869590640068,0.10807295888662337,0.0825723260641098,tri,15
15,tri_5m_pzone_16_cog,0.06301432102918625,0.1344877928495407,0.10109855979681016,tri,16
16,tri_5m_pzone_17_cog,0.05487710237503052,0.17155368626117706,0.08783438801765442,tri,17
17,tri_5m_pzone_18_cog,0.07630519568920135,0.14917044341564178,0.1217300221323967,tri,18
18,tri_5m_pzone_19_cog,0.06393460929393767,0.1627451330423355,0.10702072083950044,tri,19
19,tri_5m_pzone_20_cog,0.062282949686050415,0.11955808848142625,0.09853362292051317,tri,20
20,tri_5m_pzone_21_cog,0.08878365159034729,0.19472968578338626,0.15631282329559326,tri,21
21,tri_5m_pzone_22_cog,0.04896483570337296,0.22043640911579127,0.11063004285097122,tri,22
