like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
1.0,3.09,3.08,3.086,1.0
0.943,1.175,2.988,2.807,1.0
0.993,3.398,2.895,2.527,1.0
0.924,5.62,2.8,2.25,1.0
0.8516,7.844,2.707,1.971,1.0
0.799,9.85,2.615,1.691,1.0
0.823,7.63,2.521,1.413,1.0
0.8623,5.406,2.428,1.134,1.0
0.9463,3.182,2.336,1.165,1.0
0.9653,1.082,2.242,1.444,1.0
0.963,3.305,2.148,1.723,1.0
0.8916,5.527,2.057,2.002,1.0
0.8423,7.754,1.963,2.281,1.0
0.81,9.945,1.869,2.559,1.0
0.86,7.723,1.776,2.838,1.0
0.9233,5.496,1.683,3.117,1.0
0.9824,3.273,1.59,3.396,1.0
0.922,1.051,1.497,3.674,1.0
0.979,3.213,1.403,3.953,1.0
0.941,5.438,1.311,4.234,1.0
0.897,7.66,1.217,4.51,1.0
0.862,9.88,1.124,4.79,1.0
0.9023,7.812,1.031,5.07,1.0
0.9473,5.59,1.0625,5.348,1.0
0.962,3.367,1.155,5.625,1.0
0.8765,1.144,1.249,5.906,1.0
0.9546,3.12,1.342,6.184,1.0
0.9644,5.344,1.435,6.465,1.0
0.9443,7.566,1.528,6.742,1.0
0.92,9.79,1.621,7.02,1.0
0.949,7.906,1.714,7.3,1.0
0.9683,5.684,1.808,7.58,1.0
0.9473,3.459,1.9,7.86,1.0
0.8667,1.236,1.994,8.13,1.0
0.9307,3.027,2.088,8.414,1.0
0.967,5.25,2.18,8.695,1.0
0.968,7.473,2.273,8.98,1.0
0.9546,9.695,2.367,9.25,1.0
0.9683,8.0,2.459,9.53,1.0
0.967,5.777,2.553,9.81,1.0
0.9326,3.553,2.646,9.875,1.0
0.8677,1.329,2.738,9.59,1.0
0.924,2.936,2.832,9.31,1.0
0.9707,5.156,2.926,9.03,1.0
0.977,7.383,3.02,8.76,1.0
0.961,9.6,3.111,8.48,1.0
0.974,8.09,3.205,8.195,1.0
0.9844,5.867,3.299,7.918,1.0
0.965,3.645,3.39,7.64,1.0
0.8994,1.421,3.484,7.363,1.0
0.9526,2.842,3.578,7.082,1.0
0.9907,5.066,3.67,6.805,1.0
0.9814,7.29,3.764,6.523,1.0
0.952,9.516,3.857,6.246,1.0
0.9688,8.19,3.951,5.97,1.0
0.9927,5.96,4.043,5.688,1.0
0.991,3.738,4.137,5.41,1.0
0.927,1.514,4.23,5.13,1.0
0.975,2.75,4.324,4.85,1.0
0.9985,4.973,4.414,4.574,1.0
0.9697,7.195,4.508,4.293,1.0
0.9277,9.42,4.6,4.016,1.0
0.9434,8.27,4.695,3.736,1.0
0.9785,6.055,4.79,3.457,1.0
0.994,3.83,4.883,3.18,1.0
0.928,1.606,4.977,2.9,1.0
0.9697,2.656,5.066,2.621,1.0
0.977,4.88,5.16,2.342,1.0
0.931,7.105,5.254,2.062,1.0
0.8813,9.33,5.348,1.784,1.0
0.8906,8.37,5.44,1.506,1.0
0.9253,6.145,5.535,1.227,1.0
0.9473,3.922,5.63,1.072,1.0
0.8823,1.699,5.72,1.351,1.0
0.935,2.564,5.812,1.63,1.0
0.968,4.79,5.906,1.908,1.0
0.946,7.01,6.0,2.188,1.0
0.9165,9.234,6.094,2.467,1.0
0.9375,8.46,6.188,2.746,1.0
0.977,6.24,6.277,3.023,1.0
0.9824,4.016,6.37,3.303,1.0
0.914,1.792,6.465,3.582,1.0
0.942,2.47,6.56,3.861,1.0
0.9907,4.695,6.652,4.14,1.0
0.9897,6.918,6.746,4.418,1.0
0.9697,9.14,6.84,4.7,1.0
0.9805,8.555,6.93,4.977,1.0
0.9976,6.332,7.023,5.254,1.0
0.979,4.11,7.117,5.535,1.0
0.916,1.885,7.21,5.812,1.0
0.9307,2.379,7.305,6.09,1.0
0.983,4.6,7.4,6.37,1.0
0.9995,6.824,7.492,6.65,1.0
0.9937,9.05,7.582,6.93,1.0
0.997,8.65,7.676,7.207,1.0
0.9966,6.426,7.77,7.484,1.0
0.967,4.2,7.863,7.766,1.0
0.9116,1.978,7.957,8.05,1.0
0.9185,2.287,8.05,8.32,1.0
0.967,4.508,8.14,8.6,1.0
0.9937,6.734,8.234,8.88,1.0
0.9995,8.95,8.33,9.16,1.0
0.9995,8.74,8.42,9.44,1.0
0.988,6.516,8.516,9.72,1.0
0.9536,4.293,8.61,9.96,1.0
0.9077,2.07,8.7,9.69,1.0
0.9106,2.193,8.8,9.41,1.0
0.959,4.418,8.89,9.125,1.0
0.9907,6.64,8.984,8.85,1.0
1.0,8.87,9.07,8.57,1.0
0.9995,8.836,9.164,8.29,1.0
0.9917,6.61,9.26,8.016,1.0
0.9604,4.387,9.35,7.734,1.0
0.9087,2.162,9.445,7.453,1.0
0.9062,2.102,9.54,7.176,1.0
0.9585,4.324,9.63,6.9,1.0
0.9897,6.547,9.73,6.617,1.0
0.994,8.77,9.82,6.34,1.0
0.992,8.92,9.914,6.06,1.0
0.988,6.703,9.98,5.78,1.0
0.9585,4.48,9.88,5.504,1.0
0.8994,2.256,9.79,5.223,1.0
0.8906,2.008,9.695,4.945,1.0
0.9536,4.23,9.6,4.668,1.0
0.9824,6.457,9.51,4.387,1.0
0.9766,8.68,9.414,4.11,1.0
0.9707,9.016,9.32,3.83,1.0
0.977,6.793,9.23,3.55,1.0
0.956,4.57,9.13,3.271,1.0
0.8857,2.348,9.04,2.992,1.0
0.864,1.916,8.95,2.715,1.0
0.94,4.14,8.86,2.436,1.0
0.9575,6.363,8.766,2.156,1.0
0.936,8.586,8.67,1.878,1.0
0.9224,9.11,8.58,1.599,1.0
0.9365,6.887,8.484,1.319,1.0
0.926,4.664,8.39,1.041,1.0
0.8613,2.44,8.3,1.258,1.0
0.8394,1.823,8.2,1.537,1.0
0.938,4.047,8.11,1.815,1.0
0.959,6.27,8.016,2.094,1.0
0.9443,8.49,7.926,2.373,1.0
0.941,9.2,7.832,2.652,1.0
0.9707,6.98,7.74,2.932,1.0
0.976,4.758,7.645,3.21,1.0
0.9253,2.533,7.55,3.488,1.0
0.8975,1.73,7.46,3.768,1.0
0.9727,3.953,7.367,4.047,1.0
0.992,6.176,7.273,4.324,1.0
0.979,8.4,7.18,4.605,1.0
0.972,9.3,7.086,4.883,1.0
0.9946,7.074,6.992,5.16,1.0
0.9917,4.848,6.9,5.44,1.0
0.944,2.625,6.81,5.72,1.0
0.912,1.638,6.715,6.0,1.0
0.975,3.861,6.62,6.277,1.0
0.9995,6.086,6.527,6.555,1.0
0.9937,8.305,6.434,6.836,1.0
0.9863,9.39,6.34,7.113,1.0
0.999,7.164,6.246,7.395,1.0
0.987,4.94,6.156,7.67,1.0
0.9385,2.719,6.062,7.95,1.0
0.904,1.545,5.97,8.23,1.0
0.9604,3.768,5.875,8.51,1.0
0.9907,5.992,5.78,8.79,1.0
0.994,8.22,5.688,9.06,1.0
0.989,9.484,5.598,9.34,1.0
0.992,7.258,5.504,9.625,1.0
0.9717,5.035,5.41,9.91,1.0
0.9263,2.81,5.316,9.78,1.0
0.8926,1.452,5.223,9.5,1.0
0.9526,3.676,5.13,9.22,1.0
0.988,5.9,5.035,8.945,1.0
0.99,8.125,4.945,8.664,1.0
0.9795,9.57,4.85,8.38,1.0
0.992,7.35,4.758,8.1,1.0
0.9883,5.13,4.664,7.83,1.0
0.9497,2.904,4.57,7.547,1.0
0.9023,1.359,4.477,7.27,1.0
0.9727,3.584,4.383,6.99,1.0
0.995,5.81,4.293,6.71,1.0
0.9775,8.03,4.2,6.434,1.0
0.952,9.664,4.105,6.152,1.0
0.978,7.44,4.01,5.875,1.0
0.996,5.22,3.918,5.594,1.0
0.979,2.996,3.826,5.316,1.0
0.9185,1.268,3.732,5.04,1.0
0.994,3.49,3.639,4.758,1.0
0.984,5.715,3.547,4.48,1.0
0.9385,7.938,3.453,4.203,1.0
0.896,9.76,3.36,3.922,1.0
0.93,7.535,3.268,3.645,1.0
0.971,5.312,3.174,3.365,1.0
1.0,6.844,6.855,6.85,1.0
0.995,6.938,9.09,7.133,1.0
0.997,7.027,8.65,7.41,1.0
0.999,7.12,6.414,7.69,1.0
0.989,7.215,4.18,7.97,1.0
0.9634,7.31,1.944,8.25,1.0
0.9683,7.4,2.291,8.52,1.0
0.9897,7.492,4.527,8.805,1.0
0.9976,7.586,6.76,9.086,1.0
0.996,7.676,9.0,9.36,1.0
0.9966,7.77,8.74,9.64,1.0
0.995,7.863,6.508,9.92,1.0
0.9854,7.957,4.273,9.76,1.0
0.9624,8.05,2.037,9.484,1.0
0.964,8.14,2.2,9.2,1.0
0.9863,8.234,4.434,8.92,1.0
0.9976,8.33,6.67,8.65,1.0
1.0,8.42,8.91,8.37,1.0
1.0,8.51,8.836,8.086,1.0
0.9956,8.6,6.6,7.81,1.0
0.979,8.695,4.367,7.53,1.0
0.9453,8.79,2.13,7.25,1.0
0.941,8.88,2.105,6.973,1.0
0.9697,8.98,4.34,6.69,1.0
0.986,9.07,6.58,6.414,1.0
0.991,9.16,8.81,6.137,1.0
0.9893,9.25,8.93,5.855,1.0
0.9766,9.34,6.695,5.58,1.0
0.9487,9.44,4.46,5.297,1.0
0.901,9.53,2.225,5.02,1.0
0.8877,9.625,2.012,4.742,1.0
0.9263,9.72,4.246,4.46,1.0
0.9497,9.805,6.484,4.184,1.0
0.9614,9.9,8.72,3.904,1.0
0.958,9.93,9.02,3.625,1.0
0.9365,9.836,6.79,3.346,1.0
0.898,9.74,4.55,3.068,1.0
0.837,9.65,2.316,2.79,1.0
0.816,9.555,1.919,2.51,1.0
0.8687,9.46,4.156,2.23,1.0
0.904,9.37,6.39,1.952,1.0
0.923,9.28,8.625,1.673,1.0
0.9204,9.19,9.12,1.395,1.0
0.889,9.09,6.883,1.115,1.0
0.849,9.0,4.645,1.184,1.0
0.7974,8.91,2.41,1.462,1.0
0.7915,8.81,1.826,1.741,1.0
0.873,8.72,4.062,2.02,1.0
0.925,8.63,6.297,2.299,1.0
0.9517,8.54,8.53,2.578,1.0
0.9595,8.445,9.21,2.857,1.0
0.9556,8.35,6.977,3.135,1.0
0.9375,8.26,4.74,3.414,1.0
0.9,8.164,2.504,3.693,1.0
0.889,8.07,1.732,3.973,1.0
0.9478,7.98,3.969,4.25,1.0
0.9785,7.887,6.203,4.53,1.0
0.989,7.797,8.44,4.81,1.0
0.9897,7.703,9.305,5.086,1.0
0.9927,7.61,7.066,5.367,1.0
0.984,7.516,4.832,5.645,1.0
0.9585,7.426,2.596,5.926,1.0
